[102, 102, 102] 503 374 521 374
[0, 0, 0] 521 374 574 374
[102, 102, 102] 574 374 580 374
[170, 170, 170] 580 374 587 374
[102, 102, 102] 587 374 593 374
[0, 0, 0] 593 374 1086 374
[0, 0, 0] -585 375 -37 375
[102, 102, 102] -37 375 -15 375
[170, 170, 170] -15 375 0 375
[255, 255, 255] 0 375 500 375
[170, 170, 170] 500 375 516 375
[102, 102, 102] 516 375 537 375
[0, 0, 0] 537 375 573 375
[102, 102, 102] 573 375 579 375
[170, 170, 170] 579 375 587 375
[102, 102, 102] 587 375 593 375
[0, 0, 0] 593 375 1086 375
[0, 0, 0] -585 376 -115 376
[102, 102, 102] -115 376 -103 376
[0, 0, 0] -103 376 -54 376
[102, 102, 102] -54 376 -37 376
[170, 170, 170] -37 376 -17 376
[254, 175, 168] -17 376 -15 376
[255, 255, 255] -15 376 516 376
[254, 175, 168] 516 376 518 376
[170, 170, 170] 518 376 539 376
[102, 102, 102] 539 376 554 376
[0, 0, 0] 554 376 580 376
[102, 102, 102] 580 376 586 376
[0, 0, 0] 586 376 603 376
[102, 102, 102] 603 376 615 376
[0, 0, 0] 615 376 1086 376
[0, 0, 0] -585 377 -137 377
[102, 102, 102] -137 377 -133 377
[0, 0, 0] -133 377 -115 377
[102, 102, 102] -115 377 -102 377
[0, 0, 0] -102 377 -68 377
[102, 102, 102] -68 377 -49 377
[170, 170, 170] -49 377 -36 377
[255, 255, 255] -36 377 536 377
[170, 170, 170] 536 377 550 377
[102, 102, 102] 550 377 568 377
[0, 0, 0] 568 377 603 377
[102, 102, 102] 603 377 616 377
[0, 0, 0] 616 377 633 377
[102, 102, 102] 633 377 637 377
[0, 0, 0] 637 377 1086 377
[0, 0, 0] -585 378 -144 378
[102, 102, 102] -144 378 -138 378
[170, 170, 170] -138 378 -131 378
[102, 102, 102] -131 378 -125 378
[0, 0, 0] -125 378 -83 378
[102, 102, 102] -83 378 -69 378
[170, 170, 170] -69 378 -51 378
[254, 175, 168] -51 378 -49 378
[255, 255, 255] -49 378 550 378
[254, 175, 168] 550 378 552 378
[170, 170, 170] 552 378 570 378
[102, 102, 102] 570 378 583 378
[0, 0, 0] 583 378 626 378
[102, 102, 102] 626 378 632 378
[170, 170, 170] 632 378 639 378
[102, 102, 102] 639 378 645 378
[0, 0, 0] 645 378 1086 378
[0, 0, 0] -585 379 -144 379
